,Unnamed: 0,token,rep,dem,base,dem_p,rep_p,score,ngram
0,445776,applause,10452.0,2736.0,13188.0,0.00011249793229540559,0.00042569774189585866,0.58194412296437,1
1,3288018,obamacare,10270.0,502.0,10772.0,2.0641067986949415e-05,0.00041828509464891583,0.9059474246739158,1
2,2249424,hatch,9800.0,730.0,10530.0,3.0015895678233214e-05,0.0003991425440661514,0.8601174163271201,1
3,2996139,mcconnell,8161.0,1167.0,9328.0,4.79843154198605e-05,0.000332387990012639,0.7476981644849232,1
4,4748165,texas,7685.0,1539.0,9224.0,6.328008691616565e-05,0.0003130010664437116,0.6636552941802841,1
5,3061141,mike,7161.0,1881.0,9042.0,7.734232845309135e-05,0.00029165915898548064,0.5808020775744619,1
6,1191824,cornyn,7790.0,937.0,8727.0,3.8527252397951395e-05,0.00031727759370156326,0.7834360446727825,1
7,4176713,ryan,7115.0,1503.0,8618.0,6.179985096491031e-05,0.00028978563275823137,0.6484504973841579,1
8,2942447,mandate,5796.0,1387.0,7183.0,5.7030201788643115e-05,0.0002360643046334096,0.6108408684636328,1
9,4804574,thune,6294.0,324.0,6618.0,1.3322123561298033e-05,0.0002563472624849344,0.9011966188923344,1
10,698190,blunt,5770.0,620.0,6390.0,2.549295249384191e-05,0.00023500535502670342,0.804275484654876,1
11,2476214,indiana,5523.0,456.0,5979.0,1.8749655382567602e-05,0.00022494533376299532,0.8461219457297241,1
12,1309291,dakota,4861.0,631.0,5492.0,2.5945246812281038e-05,0.00019798284762301654,0.7682716241773072,1
13,594960,barrasso,5256.0,181.0,5437.0,7.442297421589332e-06,0.0002140707358787441,0.9328048800496641,1
14,3509942,penny,4567.0,552.0,5119.0,2.269695125258183e-05,0.00018600857130103202,0.7824978373847173,1
15,2592362,irs,3879.0,1122.0,5001.0,4.6134020480791334e-05,0.00015798713555434707,0.5479741406829031,1
16,1249914,crapo,4490.0,327.0,4817.0,1.3445476557235976e-05,0.00018287245131194083,0.8630234466798586,1
17,2383120,idaho,4625.0,157.0,4782.0,6.455473454085774e-06,0.0001883708435006072,0.9337309912234598,1
18,5290685,wyoming,4250.0,390.0,4640.0,1.6035889471932816e-05,0.0001730975318654228,0.8304277545603139,1
19,5041392,utah,4078.0,368.0,4446.0,1.5131300835054553e-05,0.0001660921729287516,0.8330094824826543,1
20,2677185,kentucky,3786.0,479.0,4265.0,1.9695361684758512e-05,0.00015419935426882136,0.773479469151713,1
21,3094891,missouri,3499.0,391.0,3890.0,1.6077007137245458e-05,0.00014251017976402692,0.7972470859546286,1
22,1013704,colorado,3256.0,573.0,3829.0,2.356042222414744e-05,0.00013261307382442746,0.6982788652330688,1
